"Beta","wtp_lm_15$coefficients","on","off"
"(Intercept)",1.76116459814335,4.81921049140304,-0.828155382679946
"sos",0.166788982315176,0.181504920568265,-0.153621806738619
"info",-0.0443050157624395,-0.0433378840575154,0.0453011395928642
"own1",0.144301357327168,0.155232193759431,-0.134373154243792
"own2",0.132499296404156,0.141678212808856,-0.124096449611916
"own3",0.0136823444772506,0.0137763761208001,-0.0135891666498634
"fishtech",0.185007375883412,0.203227314959359,-0.168901846253568
"rank_oneiuu",-0.121358498011085,-0.114283624889289,0.129029594688259
"rank_onepollution",-0.182973559330752,-0.167209825024443,0.200782658163985
"rank_oneweather",-0.263511182266998,-0.231650969492817,0.301491848489619
"educationformal",0.257952819287008,0.294277752236511,-0.227368315439248
"educationhigher",0.394184108147817,0.483173587881766,-0.325770086407636
